chr	start	end	gc	n_acgt
chr1	0	1000000	0.45654	840000
chr1	1000000	2000000	0.57285	1000000
chr1	2000000	3000000	0.58371	956491
chr1	3000000	4000000	0.56471	1000000
chr1	4000000	5000000	0.47899	1000000
chr1	5000000	6000000	0.47235	1000000
chr1	6000000	7000000	0.51629	1000000
chr1	7000000	8000000	0.47780	1000000
chr1	8000000	9000000	0.44551	1000000
chr1	9000000	10000000	0.50148	1000000
chr1	10000000	11000000	0.48084	1000000
chr1	11000000	12000000	0.50039	1000000
chr1	12000000	13000000	0.46584	954384
chr1	13000000	14000000	0.45201	995616
chr1	14000000	15000000	0.44992	1000000
chr1	15000000	16000000	0.48376	1000000
chr1	16000000	17000000	0.50122	950000
chr1	17000000	18000000	0.50263	1000000
chr1	18000000	19000000	0.49750	1000000
chr1	19000000	20000000	0.47175	1000000
chr1	20000000	21000000	0.46095	1000000
chr1	21000000	22000000	0.48320	1000000
chr1	22000000	23000000	0.49437	1000000
chr1	23000000	24000000	0.46070	1000000
chr1	24000000	25000000	0.46917	1000000
chr1	25000000	26000000	0.47705	1000000
chr1	26000000	27000000	0.48630	1000000
chr1	27000000	28000000	0.48599	1000000
chr1	28000000	29000000	0.45307	1000000
chr1	29000000	30000000	0.47344	998398
chr1	30000000	31000000	0.48240	1000000
chr1	31000000	32000000	0.47316	1000000
chr1	32000000	33000000	0.47291	1000000
chr1	33000000	34000000	0.45898	1000000
chr1	34000000	35000000	0.44801	1000000
chr1	35000000	36000000	0.42390	1000000
chr1	36000000	37000000	0.48450	1000000
chr1	37000000	38000000	0.47290	1000000
chr1	38000000	39000000	0.45474	1000000
chr1	39000000	40000000	0.45828	1000000
chr1	40000000	41000000	0.44405	1000000
chr1	41000000	42000000	0.46251	1000000
chr1	42000000	43000000	0.42445	1000000
chr1	43000000	44000000	0.47495	1000000
chr1	44000000	45000000	0.46538	1000000
chr1	45000000	46000000	0.42633	1000000
chr1	46000000	47000000	0.45680	1000000
chr1	47000000	48000000	0.46064	1000000
chr1	48000000	49000000	0.41518	1000000
chr1	49000000	50000000	0.37570	1000000
chr1	50000000	51000000	0.40063	1000000
chr1	51000000	52000000	0.41108	1000000
chr1	52000000	53000000	0.42353	1000000
chr1	53000000	54000000	0.47296	1000000
chr1	54000000	55000000	0.48494	1000000
chr1	55000000	56000000	0.41248	1000000
chr1	56000000	57000000	0.40444	1000000
chr1	57000000	58000000	0.40611	1000000
chr1	58000000	59000000	0.41702	1000000
chr1	59000000	60000000	0.40291	1000000
chr1	60000000	61000000	0.38588	1000000
chr1	61000000	62000000	0.39986	1000000
chr1	62000000	63000000	0.40703	1000000
chr1	63000000	64000000	0.40355	1000000
chr1	64000000	65000000	0.40627	1000000
chr1	65000000	66000000	0.39252	1000000
chr1	66000000	67000000	0.37763	1000000
chr1	67000000	68000000	0.40900	1000000
chr1	68000000	69000000	0.38680	1000000
chr1	69000000	70000000	0.36176	1000000
chr1	70000000	71000000	0.37611	1000000
chr1	71000000	72000000	0.36161	1000000
chr1	72000000	73000000	0.34765	1000000
chr1	73000000	74000000	0.35192	1000000
chr1	74000000	75000000	0.36447	1000000
chr1	75000000	76000000	0.37624	1000000
chr1	76000000	77000000	0.38678	1000000
chr1	77000000	78000000	0.38819	1000000
chr1	78000000	79000000	0.37229	1000000
chr1	79000000	80000000	0.35694	1000000
chr1	80000000	81000000	0.35043	1000000
chr1	81000000	82000000	0.36643	1000000
chr1	82000000	83000000	0.36617	1000000
chr1	83000000	84000000	0.37378	1000000
chr1	84000000	85000000	0.38910	1000000
chr1	85000000	86000000	0.38714	1000000
chr1	86000000	87000000	0.38160	1000000
chr1	87000000	88000000	0.39231	1000000
chr1	88000000	89000000	0.37749	1000000
chr1	89000000	90000000	0.39712	1000000
chr1	90000000	91000000	0.38580	1000000
chr1	91000000	92000000	0.40792	1000000
chr1	92000000	93000000	0.39335	1000000
chr1	93000000	94000000	0.40635	1000000
chr1	94000000	95000000	0.41684	1000000
chr1	95000000	96000000	0.38266	1000000
chr1	96000000	97000000	0.37328	1000000
chr1	97000000	98000000	0.35277	1000000
chr1	98000000	99000000	0.36308	1000000
chr1	99000000	100000000	0.37732	1000000
chr1	100000000	101000000	0.38149	1000000
chr1	101000000	102000000	0.37239	1000000
chr1	102000000	103000000	0.34806	1000000
chr1	103000000	104000000	0.34666	1000000
chr1	104000000	105000000	0.35145	1000000
chr1	105000000	106000000	0.34369	1000000
chr1	106000000	107000000	0.35467	1000000
chr1	107000000	108000000	0.37919	1000000
chr1	108000000	109000000	0.40037	1000000
chr1	109000000	110000000	0.46167	1000000
chr1	110000000	111000000	0.44449	1000000
chr1	111000000	112000000	0.42238	1000000
chr1	112000000	113000000	0.43390	1000000
chr1	113000000	114000000	0.39939	1000000
chr1	114000000	115000000	0.40631	1000000
chr1	115000000	116000000	0.41738	1000000
chr1	116000000	117000000	0.43070	1000000
chr1	117000000	118000000	0.40566	1000000
chr1	118000000	119000000	0.38023	1000000
chr1	119000000	120000000	0.41637	1000000
chr1	120000000	121000000	0.40616	1000000
chr1	121000000	122000000	0.41180	971852
chr1	122000000	123000000	0.40485	972641
chr1	123000000	124000000	0.39208	1000000
chr1	124000000	125000000	0.39562	999318
chr1	125000000	126000000	0.38095	180479
chr1	126000000	127000000	0.00000	0
chr1	127000000	128000000	0.00000	0
chr1	128000000	129000000	0.00000	0
chr1	129000000	130000000	0.00000	0
chr1	130000000	131000000	0.00000	0
chr1	131000000	132000000	0.00000	0
chr1	132000000	133000000	0.00000	0
chr1	133000000	134000000	0.00000	0
chr1	134000000	135000000	0.00000	0
chr1	135000000	136000000	0.00000	0
chr1	136000000	137000000	0.00000	0
chr1	137000000	138000000	0.00000	0
chr1	138000000	139000000	0.00000	0
chr1	139000000	140000000	0.00000	0
chr1	140000000	141000000	0.00000	0
chr1	141000000	142000000	0.00000	0
chr1	142000000	143000000	0.00000	0
chr1	143000000	144000000	0.41863	815413
chr1	144000000	145000000	0.42270	1000000
chr1	145000000	146000000	0.43114	1000000
chr1	146000000	147000000	0.41759	1000000
chr1	147000000	148000000	0.41138	1000000
chr1	148000000	149000000	0.41543	1000000
chr1	149000000	150000000	0.42159	1000000
chr1	150000000	151000000	0.43689	1000000
chr1	151000000	152000000	0.45742	1000000
chr1	152000000	153000000	0.41515	1000000
chr1	153000000	154000000	0.45401	1000000
chr1	154000000	155000000	0.46641	1000000
chr1	155000000	156000000	0.47334	1000000
chr1	156000000	157000000	0.50625	1000000
chr1	157000000	158000000	0.42113	1000000
chr1	158000000	159000000	0.39184	1000000
chr1	159000000	160000000	0.40990	1000000
chr1	160000000	161000000	0.43927	1000000
chr1	161000000	162000000	0.44587	1000000
chr1	162000000	163000000	0.41378	1000000
chr1	163000000	164000000	0.37652	1000000
chr1	164000000	165000000	0.39355	1000000
chr1	165000000	166000000	0.42104	1000000
chr1	166000000	167000000	0.40326	1000000
chr1	167000000	168000000	0.41883	1000000
chr1	168000000	169000000	0.40329	1000000
chr1	169000000	170000000	0.38256	1000000
chr1	170000000	171000000	0.37739	1000000
chr1	171000000	172000000	0.39808	1000000
chr1	172000000	173000000	0.38129	1000000
chr1	173000000	174000000	0.39458	1000000
chr1	174000000	175000000	0.38349	1000000
chr1	175000000	176000000	0.42964	1000000
chr1	176000000	177000000	0.39084	1000000
chr1	177000000	178000000	0.40765	1000000
chr1	178000000	179000000	0.39662	1000000
chr1	179000000	180000000	0.41120	1000000
chr1	180000000	181000000	0.40975	1000000
chr1	181000000	182000000	0.43376	1000000
chr1	182000000	183000000	0.41920	1000000
chr1	183000000	184000000	0.41189	1000000
chr1	184000000	185000000	0.39833	1000000
chr1	185000000	186000000	0.37916	1000000
chr1	186000000	187000000	0.36656	1000000
chr1	187000000	188000000	0.35721	1000000
chr1	188000000	189000000	0.34340	1000000
chr1	189000000	190000000	0.33951	1000000
chr1	190000000	191000000	0.33593	1000000
chr1	191000000	192000000	0.34420	1000000
chr1	192000000	193000000	0.36178	1000000
chr1	193000000	194000000	0.36394	1000000
chr1	194000000	195000000	0.34495	1000000
chr1	195000000	196000000	0.34198	1000000
chr1	196000000	197000000	0.34890	1000000
chr1	197000000	198000000	0.36227	1000000
chr1	198000000	199000000	0.36000	1000000
chr1	199000000	200000000	0.37029	1000000
chr1	200000000	201000000	0.41841	1000000
chr1	201000000	202000000	0.48871	1000000
chr1	202000000	203000000	0.45748	1000000
chr1	203000000	204000000	0.46374	1000000
chr1	204000000	205000000	0.47550	1000000
chr1	205000000	206000000	0.47287	1000000
chr1	206000000	207000000	0.44748	1000000
chr1	207000000	208000000	0.40440	1000000
chr1	208000000	209000000	0.42424	1000000
chr1	209000000	210000000	0.42178	1000000
chr1	210000000	211000000	0.41046	1000000
chr1	211000000	212000000	0.42145	1000000
chr1	212000000	213000000	0.43125	1000000
chr1	213000000	214000000	0.40789	1000000
chr1	214000000	215000000	0.40171	1000000
chr1	215000000	216000000	0.36768	1000000
chr1	216000000	217000000	0.36786	1000000
chr1	217000000	218000000	0.37703	1000000
chr1	218000000	219000000	0.38397	1000000
chr1	219000000	220000000	0.38096	1000000
chr1	220000000	221000000	0.40314	1000000
chr1	221000000	222000000	0.39055	1000000
chr1	222000000	223000000	0.39926	1000000
chr1	223000000	224000000	0.44626	950000
chr1	224000000	225000000	0.42304	1000000
chr1	225000000	226000000	0.41886	1000000
chr1	226000000	227000000	0.46402	1000000
chr1	227000000	228000000	0.42604	1000000
chr1	228000000	229000000	0.49597	950000
chr1	229000000	230000000	0.43575	1000000
chr1	230000000	231000000	0.44605	1000000
chr1	231000000	232000000	0.42419	1000000
chr1	232000000	233000000	0.41873	1000000
chr1	233000000	234000000	0.40235	1000000
chr1	234000000	235000000	0.43740	1000000
chr1	235000000	236000000	0.42430	1000000
chr1	236000000	237000000	0.42866	1000000
chr1	237000000	238000000	0.38983	1000000
chr1	238000000	239000000	0.36841	1000000
chr1	239000000	240000000	0.38220	1000000
chr1	240000000	241000000	0.39732	1000000
chr1	241000000	242000000	0.39934	1000000
chr1	242000000	243000000	0.40794	1000000
chr1	243000000	244000000	0.39075	1000000
chr1	244000000	245000000	0.42525	1000000
chr1	245000000	246000000	0.43813	1000000
chr1	246000000	247000000	0.41337	1000000
chr1	247000000	248000000	0.41195	1000000
chr1	248000000	248956422	0.39468	946420
chr10	0	1000000	0.45692	990000
chr10	1000000	2000000	0.45681	1000000
chr10	2000000	3000000	0.40487	1000000
chr10	3000000	4000000	0.44262	1000000
chr10	4000000	5000000	0.38885	1000000
chr10	5000000	6000000	0.43613	1000000
chr10	6000000	7000000	0.43465	1000000
chr10	7000000	8000000	0.42423	1000000
chr10	8000000	9000000	0.39920	1000000
chr10	9000000	10000000	0.36223	1000000
chr10	10000000	11000000	0.39109	1000000
chr10	11000000	12000000	0.43780	1000000
chr10	12000000	13000000	0.45112	1000000
chr10	13000000	14000000	0.44260	1000000
chr10	14000000	15000000	0.42685	1000000
chr10	15000000	16000000	0.41469	1000000
chr10	16000000	17000000	0.40167	1000000
chr10	17000000	18000000	0.39941	1000000
chr10	18000000	19000000	0.39448	1000000
chr10	19000000	20000000	0.36567	1000000
chr10	20000000	21000000	0.37945	1000000
chr10	21000000	22000000	0.40995	1000000
chr10	22000000	23000000	0.40102	1000000
chr10	23000000	24000000	0.40376	1000000
chr10	24000000	25000000	0.41245	1000000
chr10	25000000	26000000	0.38488	1000000
chr10	26000000	27000000	0.40456	1000000
chr10	27000000	28000000	0.39275	1000000
chr10	28000000	29000000	0.40969	1000000
chr10	29000000	30000000	0.43069	1000000
chr10	30000000	31000000	0.43038	1000000
chr10	31000000	32000000	0.39886	1000000
chr10	32000000	33000000	0.39270	1000000
chr10	33000000	34000000	0.41422	1000000
chr10	34000000	35000000	0.41499	1000000
chr10	35000000	36000000	0.42026	1000000
chr10	36000000	37000000	0.38480	1000000
chr10	37000000	38000000	0.39636	1000000
chr10	38000000	39000000	0.39521	946194
chr10	39000000	40000000	0.37599	930368
chr10	40000000	41000000	0.38393	999600
chr10	41000000	42000000	0.38226	816065
chr10	42000000	43000000	0.41601	933735
chr10	43000000	44000000	0.46450	1000000
chr10	44000000	45000000	0.43407	1000000
chr10	45000000	46000000	0.40947	1000000
chr10	46000000	47000000	0.43260	1000000
chr10	47000000	48000000	0.45071	910000
chr10	48000000	49000000	0.43765	1000000
chr10	49000000	50000000	0.43912	1000000
chr10	50000000	51000000	0.39880	1000000
chr10	51000000	52000000	0.36496	1000000
chr10	52000000	53000000	0.37266	1000000
chr10	53000000	54000000	0.35532	999998
chr10	54000000	55000000	0.34849	1000000
chr10	55000000	56000000	0.34366	1000000
chr10	56000000	57000000	0.34897	1000000
chr10	57000000	58000000	0.35498	1000000
chr10	58000000	59000000	0.38541	999999
chr10	59000000	60000000	0.38900	999999
chr10	60000000	61000000	0.38198	1000000
chr10	61000000	62000000	0.37758	1000000
chr10	62000000	63000000	0.39959	999997
chr10	63000000	64000000	0.39649	1000000
